Date,Open,High,Low,Close
9/8/2019,9022.5,9103.099609,9010.349609,9046.549805
13/8/2019,9066.349609,9070.200195,8874.849609,8890.099609
14/8/2019,8942,8998.25,8897,8971.099609
16/8/2019,8971.650391,8999.200195,8886.299805,8988.799805
19/8/2019,9022.599609,9061.400391,8983.650391,8997.950195
20/8/2019,9004.75,9012.099609,8930.5,8957.400391
21/8/2019,8957.849609,8965.099609,8858.450195,8864.5
22/8/2019,8851.349609,8853.25,8706.450195,8719.25
23/8/2019,8687.450195,8812.849609,8628.349609,8790.549805
26/8/2019,8933.049805,8973.200195,8735.299805,8964.700195
27/8/2019,9004,9047.849609,8972.900391,9022.25
28/8/2019,9023.799805,9047.549805,8930.099609,8970.900391
29/8/2019,8938.049805,8954.650391,8874.25,8906.099609
30/8/2019,8936.450195,8991.200195,8859.75,8977.549805
3/9/2019,8927.900391,8931.650391,8783.75,8802.349609
4/9/2019,8798.75,8841.950195,8751.25,8833.099609
5/9/2019,8848,8894.900391,8825,8846.299805
6/9/2019,8873.75,8928.450195,8859.25,8920.400391
9/9/2019,8914.700195,8986.599609,8882.900391,8972.400391
11/9/2019,8992.700195,9026.25,8981.099609,9015.150391
12/9/2019,9036.950195,9061,8969.849609,8981.599609
13/9/2019,8992.650391,9056.799805,8945.599609,9050.849609
16/9/2019,8992.150391,9044.450195,8978.950195,9009.150391
17/9/2019,9010.549805,9012.099609,8838.25,8853.900391
18/9/2019,8898.950195,8912.200195,8841.549805,8877.700195
19/9/2019,8884.5,8884.5,8738.650391,8766.450195
20/9/2019,8799.450195,9293.900391,8748.049805,9230.5
23/9/2019,9425.400391,9552.25,9386.900391,9486.599609
24/9/2019,9489.099609,9530.349609,9434.650391,9474.75
25/9/2019,9458.049805,9458.450195,9326.099609,9344.150391
26/9/2019,9365.5,9471.25,9363.25,9443.799805
27/9/2019,9435.549805,9465.349609,9388.5,9395.599609
30/9/2019,9384.650391,9389.549805,9276.900391,9340.900391
1/10/2019,9372.700195,9402,9140.049805,9236.400391
3/10/2019,9207.150391,9243.799805,9153.700195,9198.400391
4/10/2019,9253.099609,9264,9078.799805,9091.650391
7/10/2019,9104.5,9120.299805,9031.599609,9040.650391
9/10/2019,9059.099609,9183.299805,9008.849609,9177.950195
10/10/2019,9153.5,9165.049805,9097.549805,9112.75
11/10/2019,9132.400391,9207.349609,9076.299805,9161.400391
14/10/2019,9187.700195,9248.5,9156.900391,9192.650391
15/10/2019,9208.700195,9277.25,9196.849609,9253.849609
16/10/2019,9282.950195,9301.75,9246.650391,9281.849609
17/10/2019,9286.650391,9399.25,9268.049805,9391
18/10/2019,9391.849609,9494.700195,9373.5,9479.200195
22/10/2019,9481.049805,9526.799805,9435.849609,9448.25
23/10/2019,9457.25,9497.75,9418.25,9458.650391
24/10/2019,9501.349609,9516.650391,9402.5,9437.650391
25/10/2019,9478.450195,9479.049805,9365.549805,9431.099609
29/10/2019,9490.099609,9615.75,9475.5,9598.349609
30/10/2019,9666.599609,9673.700195,9602.099609,9647.549805
31/10/2019,9686.400391,9733.349609,9671.299805,9689.650391
1/11/2019,9703.099609,9730.75,9678.200195,9704
4/11/2019,9736.75,9780,9712.099609,9732.400391
5/11/2019,9757.75,9760.799805,9657.700195,9694.049805
6/11/2019,9694.849609,9750.549805,9646.099609,9721.349609
7/11/2019,9768.900391,9771.299805,9718.25,9764.299805
8/11/2019,9753.25,9785.400391,9669.950195,9683.299805
11/11/2019,9665.650391,9708.349609,9655.5,9695.849609
13/11/2019,9698.099609,9730.599609,9618.25,9633.950195
14/11/2019,9648.849609,9671.099609,9596.849609,9650.400391
15/11/2019,9676.950195,9721.299805,9657.799805,9667.299805
18/11/2019,9685.849609,9705.700195,9654.400391,9668.599609
19/11/2019,9692.200195,9714.25,9662.599609,9702.150391
20/11/2019,9748.400391,9776.700195,9725.700195,9744.900391
